,Link-href,Name,Types,About,Duration,Address,Rating,ReviewsNo,ExcellentRating,VeryGoodRating,AverageRating,PoorRating,TerribleRating,StartTime,EndTime,LunchStart,LunchEnd,DurationMin,DurationMax
354,https://www.tripadvisor.com/Attraction_Review-g189158-d15317668-Reviews-Calcada_do_Lavra-Lisbon_Lisbon_District_Central_Portugal.html,Calcada do Lavra,['Points of Interest & Landmarks'],,Duration: < 1 hour,,4.0,3,0,3,0,0,0,,,,,,0 days 01:00:00
355,https://www.tripadvisor.com/Attraction_Review-g189158-d15314789-Reviews-Chafariz_das_Janelas_Verdes-Lisbon_Lisbon_District_Central_Portugal.html,Chafariz das Janelas Verdes,"['Points of Interest & Landmarks', 'Fountains']",,Duration: < 1 hour,"Largo Dr. Jose Figueiredo, Lisbon 1200-742 Portugal",4.5,5,2,3,0,0,0,,,,,,0 days 01:00:00
356,https://www.tripadvisor.com/Attraction_Review-g189158-d8432882-Reviews-Galeria_Sao_Mamede-Lisbon_Lisbon_District_Central_Portugal.html,Galeria São Mamede,['Art Galleries'],,Duration: < 1 hour,"Rua da Escola Politecnica 167, Lisbon 1250-101 Portugal",4.0,4,2,0,2,0,0,,,,,,0 days 01:00:00
357,https://www.tripadvisor.com/Attraction_Review-g189158-d15351317-Reviews-Estatua_de_Fernao_de_Magalhaes-Lisbon_Lisbon_District_Central_Portugal.html,Estatua de Fernao de Magalhaes,['Monuments & Statues'],,Duration: < 1 hour,"Praca do Chile, Lisbon 1000-098 Portugal",4.5,2,1,1,0,0,0,,,,,,0 days 01:00:00
358,https://www.tripadvisor.com/Attraction_Review-g189158-d15688178-Reviews-Capela_de_Nossa_Senhora_de_Monserrate-Lisbon_Lisbon_District_Central_Portugal.html,Capela de Nossa Senhora de Monserrate,['Churches & Cathedrals'],,,"Praca das Amoreiras, Lisbon 1250-096 Portugal",5.0,1,1,0,0,0,0,,,,,,
359,https://www.tripadvisor.com/Attraction_Review-g189158-d15218493-Reviews-Miradouro_da_Rocha_Conde_de_Obidos-Lisbon_Lisbon_District_Central_Portugal.html,Miradouro da Rocha Conde de Obidos,['Lookouts'],,Duration: < 1 hour,"Travessa do Olival a Santos 18, Lisbon 1200-736 Portugal",4.0,4,0,4,0,0,0,,,,,,0 days 01:00:00
360,https://www.tripadvisor.com/Attraction_Review-g189158-d15317694-Reviews-Porta_Dom_Fradique-Lisbon_Lisbon_District_Central_Portugal.html,Porta Dom Fradique,['Points of Interest & Landmarks'],,Duration: < 1 hour,"Patio Dom Fradique 8, Lisbon 1100-624 Portugal",3.0,5,0,1,3,1,0,,,,,,0 days 01:00:00
361,https://www.tripadvisor.com/Attraction_Review-g189158-d9841800-Reviews-Espaco_Exibicionista-Lisbon_Lisbon_District_Central_Portugal.html,Espaco Exibicionista,['Art Galleries'],,Duration: 2-3 hours,"Rua de Dona Estefania 157-C, Lisbon 1000-154 Portugal",4.5,3,1,2,0,0,0,,,,,0 days 02:00:00,0 days 03:00:00
362,https://www.tripadvisor.com/Attraction_Review-g189158-d17698355-Reviews-Monumento_a_Eduardo_Coelho-Lisbon_Lisbon_District_Central_Portugal.html,Monumento a Eduardo Coelho,['Monuments & Statues'],,Duration: < 1 hour,"Rua de São Pedro de Alcantara Jardim de São Pedro de Alcântara, Lisbon 1200-470 Portugal",4.0,9,2,5,2,0,0,00:00:00,23:59:00,,,,0 days 01:00:00
363,https://www.tripadvisor.com/Attraction_Review-g189158-d10060306-Reviews-Arco_do_Cego_Garden-Lisbon_Lisbon_District_Central_Portugal.html,Arco do Cego Garden,['Gardens'],,Duration: 1-2 hours,"Av. João Crisóstomo, Lisbon 1050-000 Portugal",3.0,8,1,1,2,3,0,,,,,0 days 01:00:00,0 days 02:00:00
364,https://www.tripadvisor.com/Attraction_Review-g189158-d12345663-Reviews-BUS_Paragem_Cultural-Lisbon_Lisbon_District_Central_Portugal.html,BUS Paragem Cultural,['Civic Centres'],,,"Rua Maria 73, Lisbon 1170-210 Portugal",5.0,2,2,0,0,0,0,19:00:00,00:00:00,,,,
365,https://www.tripadvisor.com/Attraction_Review-g189158-d15549839-Reviews-Estatua_Alexandre_Herculano-Lisbon_Lisbon_District_Central_Portugal.html,Estatua Alexandre Herculano,['Monuments & Statues'],,Duration: < 1 hour,"Avenida da Liberdade 185, Lisbon 1269-050 Portugal",4.0,5,0,4,1,0,0,,,,,,0 days 01:00:00
366,https://www.tripadvisor.com/Attraction_Review-g189158-d15669028-Reviews-Guardadora_de_Patos_A_Filha_de_Rei_Guardando_Patos-Lisbon_Lisbon_District_Centra.html,Guardadora de Patos/ A Filha de Rei Guardando Patos,"['Points of Interest & Landmarks', 'Monuments & Statues']",,,"Jardim Guerra Junqueiro Estrela, Lisbon 1200-667 Portugal",5.0,2,2,0,0,0,0,,,,,,
367,https://www.tripadvisor.com/Attraction_Review-g189158-d10059937-Reviews-Chafariz_das_Necessidades-Lisbon_Lisbon_District_Central_Portugal.html,Chafariz das Necessidades,['Fountains'],,Duration: < 1 hour,"Largo das Necessidades, Lisbon 1350-215 Portugal",4.5,5,3,2,0,0,0,,,,,,0 days 01:00:00
368,https://www.tripadvisor.com/Attraction_Review-g189158-d16726864-Reviews-Estatua_da_Guitarra_na_Proa-Lisbon_Lisbon_District_Central_Portugal.html,Estatua da Guitarra na Proa,['Monuments & Statues'],,,"Avenida Brasilia, Lisbon 1300-598 Portugal",4.5,3,2,1,0,0,0,,,,,,
369,https://www.tripadvisor.com/Attraction_Review-g189158-d17581693-Reviews-Praca_Jose_Fontana-Lisbon_Lisbon_District_Central_Portugal.html,Praca Jose Fontana,['Parks'],,,"Rua Engenheiro Vieira Da Silva, Lisbon 1050-129 Portugal",4.0,4,1,1,2,0,0,,,,,,
370,https://www.tripadvisor.com/Attraction_Review-g189158-d17581705-Reviews-Gil_Mascote_Expo_98-Lisbon_Lisbon_District_Central_Portugal.html,Gil Mascote Expo'98,['Monuments & Statues'],,,"Alameda dos Oceanos 37, Lisbon 1990-203 Portugal",3.5,5,1,1,3,0,0,,,,,,
371,https://www.tripadvisor.com/Attraction_Review-g189158-d15672363-Reviews-Lago_das_Tagides-Lisbon_Lisbon_District_Central_Portugal.html,Lago das Tagides,['Points of Interest & Landmarks'],,,"Rua do Bojador 47 Parque das Nacoes, Lisbon 1998-010 Portugal",4.0,4,1,1,2,0,0,,,,,,
372,https://www.tripadvisor.com/Attraction_Review-g189158-d14967167-Reviews-Sweet_Art_Museum-Lisbon_Lisbon_District_Central_Portugal.html,Sweet Art Museum,"[""Children's Museums""]",,,"Rua Jose Domingos Barreiros nº 2F, Lisbon 1950-161 Portugal",3.5,3,1,1,0,1,0,,,,,,
373,https://www.tripadvisor.com/Attraction_Review-g189158-d13001782-Reviews-Museu_Centro_Cultural_Casapiano-Lisbon_Lisbon_District_Central_Portugal.html,Museu Centro Cultural Casapiano,"['Speciality Museums', 'History Museums']",,,"Rua dos Jeronimos 7 A Junto do Mosteiro dos Jerónimos, Lisbon 1400-210 Portugal",4.5,3,2,1,0,0,0,10:00:00,18:00:00,,,,
374,https://www.tripadvisor.com/Attraction_Review-g189158-d15290014-Reviews-Igreja_de_Santo_Estevao-Lisbon_Lisbon_District_Central_Portugal.html,Igreja de Santo Estevao,"['Points of Interest & Landmarks', 'Churches & Cathedrals']",,Duration: < 1 hour,"Largo Santo Estevao 13, Lisbon 1100-505 Portugal",4.0,3,0,3,0,0,0,,,,,,0 days 01:00:00
375,https://www.tripadvisor.com/Attraction_Review-g189158-d17665289-Reviews-Arco_de_Jesus-Lisbon_Lisbon_District_Central_Portugal.html,Arco de Jesus,['Points of Interest & Landmarks'],,,"Rua Cais de santarem, Lisbon 1100-135 Portugal",4.5,3,1,2,0,0,0,,,,,,
376,https://www.tripadvisor.com/Attraction_Review-g189158-d10147112-Reviews-APOLO70-Lisbon_Lisbon_District_Central_Portugal.html,APOLO70,['Shopping Malls'],,Duration: 1-2 hours,"Av. Júlio Dinis, 10 - A, Lisbon 1069-216 Portugal",4.0,8,3,3,2,0,0,,,,,0 days 01:00:00,0 days 02:00:00
377,https://www.tripadvisor.com/Attraction_Review-g189158-d15272867-Reviews-Torre_da_Paroquial-Lisbon_Lisbon_District_Central_Portugal.html,Torre da Paroquial,"['Points of Interest & Landmarks', 'Architectural Buildings']",,Duration: < 1 hour,"Rua Arco da Torre 8, Lisbon 1400-023 Portugal",4.5,3,2,1,0,0,0,,,,,,0 days 01:00:00
378,https://www.tripadvisor.com/Attraction_Review-g189158-d15242339-Reviews-Placa_Implantacao_da_Republica-Lisbon_Lisbon_District_Central_Portugal.html,Placa Implantacao da Republica,['Points of Interest & Landmarks'],,Duration: < 1 hour,"R. Domingos Sequeira 135, Lisbon 1250-096 Portugal",5.0,1,1,0,0,0,0,,,,,,0 days 01:00:00
